WerkAutorinID,WerkID,GND,Werk
wa00285,w00285,116015683,"Die Insel Ischia in Natur-, Sittenu. Geschichtsbildern, 1883."
wa00286,w00286,116015683,"Neue Welschlandbilder und Historien, 1886."
wa00287,w00287,116015683,"Sonnenbrut (Kopien realist. Bilder aus der neuesten italienischen Novellistik), 1887."
wa00288,w00288,116015683,"Volkstümliches aus Süditalien, 1896."
wa00289,w00289,116015683,"Rotes Blut und andere Geschichten aus Süditalien, 1897. 2. Aufl. 1900."
wa00290,w00290,1057766305,"Aventjuren im Reiche Fabula u. Gedichte, 1906."
wa00291,w00291,1057766305,"Romanzen und Lieder, 1910."
wa00292,w00292,118721690,"II, 1898.Kel Ein Fahrenhöft (E. a. dem russischen Leben), 1888. 3. A. 1902."
wa00293,w00293,118721690,"Zweimal gestorben (R. a. d. russischen Leben), 1888. 2. A. 1901."
wa00294,w00294,118721690,"Sein Erbe (desgleichen), 1889. 2. A. 1896."
wa00295,w00295,118721690,"Aus Rußlands Steppen (Christliche En.), 1891. 2. A. 1900."
wa00296,w00296,118721690,"Um freien Glauben (E. a. Südrußland), 1892. 6. T. 1907."
wa00297,w00297,118721690,"Die Natschalniza (R.), 1892. 3. A. u. d. T.: Iadwiga (Die Natschalniza. R. a. d. russisch. Leben der Gegenwart), 1903."
wa00298,w00298,118721690,"Steppenbilder und Steppenleute (En.), 1894. 2. A. 1900."
wa00299,w00299,118721690,"Im Wegewinkel (Etwas für Christen und solche, die es werden wollen), 1894. 10. T. 1904."
wa00300,w00300,118721690,"Heimwärts (En.), 1894. 4. A. 1905."
wa00301,w00301,118721690,"Mosaik, 1895. 2. A. 1901."
wa00302,w00302,118721690,"Mein Fremdenbuch (Erinnergn. an Rußland), 1895. 4. Aufl. 1909."
wa00303,w00303,118721690,"Weihnachtsbüchlein für kleine und große Kinder, 1895."
wa00304,w00304,118721690,"Das Salz der Erde (N.), 1895. 2. A. 1902."
wa00305,w00305,118721690,"Der Brautwächter (N. aus Rußland, 1896. 3. A. 1901."
wa00306,w00306,118721690,"Von hüben und drüben (En.), 1896. 2. A. 1904."
wa00307,w00307,118721690,"Momentbilder vom Karneval (En.), 1897. 4. A. 1902."
wa00308,w00308,118721690,"Im Schatten der Schuld (R.), 1898. 2. Aufl. 1900."
wa00309,w00309,118721690,"Zum Sonntagabend (En.), 1. Bd., 1898. 2. A. u. d. T.: Wenne Pridik (E.), 1902."
wa00310,w00310,118721690,Doktor Vorwärts’ zweite Trauung (R.);
wa00311,w00311,118721690,"Die halbe Verlobung (Sylter N.), 1899."
wa00312,w00312,118721690,"Oberlicht (E.), 1899. 10. T. 1905."
wa00313,w00313,118721690,"Der Vasenpfennig (N. a. d. Gegenwart), 1900."
wa00314,w00314,118721690,"Vom braven Schlingel (E.), 1900."
wa00315,w00315,118721690,"Seine Spuren in der Steppe (E.), 1901."
wa00316,w00316,118721690,"Menschwerdung (Soz. R. a. d. Gegenwart), 1902. 6. A. 1903."
wa00317,w00317,118721690,"Den Meinen erzählt (En.), 1. u. 2. A. 1903."
wa00318,w00318,118721690,"Lebendiges Echo (En.), 1904."
wa00319,w00319,118721690,"Wildes Taufen (E.), 1904."
wa00320,w00320,118721690,"Die goldene Feder. Heilserum (2 En.), 1905."
wa00321,w00321,118721690,"Sein eigen (Lebensbuch für junge Männer), 1905. 4. A. 1909."
wa00322,w00322,118721690,"Ein Höhenweg (Ein Buch f. konfirmierte Mädchen), 1906. 6. A. 1909."
wa00323,w00323,1102221384,"Keu Der alte und der neue Glaube (Lebensbild), 1884."
wa00324,w00324,1102221384,"Die Kosaken (N. v. Tolstoi, übers.), 1885."
wa00325,w00325,1102221384,"Goethes Religion u. Goethes Faust, 1898."
wa00326,w00326,1157580815,"Die Braut von Korinth (Tr.), 1843."
wa00327,w00327,113665954,"Rumänische Volkspoesie, übers., 1857. "
wa00328,w00328,113665954,"Aus der Moldau (Bilder u. Sk.), 1860."
wa00329,w00329,113665954,"Kleine Geschichten a. d. großen Welt, 1862."
wa00330,w00330,113665954,"Laskar Vioresku (Moldauisches Genrebild), 1863."
wa00331,w00331,113665954,"Fritz Reckensteg, (R.); II, 1885."
wa00332,w00332,141208813,"Romantik und Naturalismus (Liter. Kreuzu. Quersprünge), 1891."
wa00333,w00333,141208813,"Zwischen Narowa und Niemen (Baltische En. u. Sk.), 1891."
wa00334,w00334,141208813,"Auslese (Schsp.), 1894."
wa00335,w00335,141208813,"Germanenblut im Osten (En. und Sk.), 1894."
wa00336,w00336,141208813,"Im Zuge der Pest (E. a. Kurlands Vorzeit), 1895."
wa00337,w00337,141208813,"Leuktra, Legnano, Tannenberg u. Iena (Militärpolit. Essays), 1906. 1863."
wa00338,w00338,141208813,"Fritz Reckensteg, (R.); II, 1885."
wa00339,w00339,116555211,"Gereimtes und Ungereimtes, 1892."
wa00340,w00340,11872472X,"Das Vermächtnis des Tacitus (Sat. von Caligula Quitte [pseudon.]), 1896."
wa00341,w00341,11872472X,"Ritter Hans (Schsp.), 1897."
wa00342,w00342,11872472X,"Sirenenliebe [Spaltenumbruch] Krü (Ein Rivieraroman), 1897. 2. Aufl. 1902."
