WerkID,Werk
w00179,"II, 1905. Am Strome der Zeit (Dn.), 1885."
w00180,"Das Baltische Dichterbuch (Anthol. mit biographisch-kritischen Studien), 1894."
w00181,"Heinrich Heine als deutscher Lyriker (Eine literarische Ketzerei), 1894."
w00182,"Der Segen der Sünde (Geschichte eines Menschen), 1897. 10. T. 1905."
w00183,"Probleme und Charakterköpfe (Studien zur Literatur unserer Zeit), 1897. 12. T. 1905."
w00184,"Gottsuchers Wanderlieder (Dn.), 1898."
w00185,"Die Halben (R. aus unserer Zeit), 1. u. 2. A. 1900."
w00186,"Lucian (Auswahl a. seinen Schriften, hrsg.);"
w00187,"Aus deutscher Dämmerung (Schattenbilder einer Übergangskultur), 1. u. 2. A. 1909."
w00188,"Christian Günther (Schsp.), 1882."
w00189,"Strandgut (Schsp.), 1885."
w00190,"Hans im Glück (Schsp.), 1886."
w00191,"In Kaisers Schutz (Festsp.), 1887."
w00192,"Im Bann der Bühne (Ge. eines Schauspielers), 1901."
w00193,"Im Theaterland (Hum. Sk.), 1908."
w00194,"Büchlein der Lieder, 1850."
w00195,"Fünfzig Stunden auf der Düna (Poet. E.), 1850."
w00196,"Neue Gedichte, 1851."
w00197,"Verandi (Zeitgedicht), 1855."
w00198,"Schatten u. Helle (Ge.), 1906."
w00199,"Sonette von der Liebe, 1908."
w00200,"Der Magier (Dr. in russisch. Sprache, deutsch von P. Potjomkin), 1909."
w00201,"„Telemach“ (Ge.), 1911."
w00202,"Lyrik (Ge.), 1900."
w00203,"Hal Früchte der Schuld (Bürgerl. Tr.), 1892."
w00204,"Die Eifersüchtigen (Schsp.), 1893."
w00205,"Verkommen (Sittendrama), 1893."
w00206,"Das Privatlogis (Lsp.), 1894."
w00207,"Anka (Dram. Bild), 1894."
w00208,"Wohltäter (Modernes Dr.), 1895. 2. A. 1899."
w00209,"Muttersöhne (Dr. Lebensbild), 1896. 2. A. 1899."
w00210,"Die Gallenen (Märchendrama), 1900."
w00211,"Er und Sie (Tr. eines Weibes), 1902."
w00212,"Napoleon (Dr. G.), 1880."
w00213,"Goethe in der Epoche seiner Vollendung (1805-32), 1887."
w00214,"Die klassische Asthetik der Deutschen, 1892."
w00215,"Essays und Studien zur Literaturgeschichte, 1899."
w00216,"Schiller (Biogr.), 1898. 3. A. 1905."
w00217,"Goethes Gedichte in chronolog. Ordnung hrsg., 1901."
w00218,"Der deutsche Klassizismus im Zeitalter Goethes (Literar. Sk.), 1906."
w00219,"II, 1859-61."
w00220,"Das Albungenlied (Ep. G. a. d. deutschen Sage); hohe Lied, übers. v. Willeram, erklärt von Relindis u. Herrat, Äbtissinnen zu Hohenheim im Elsaß; hrsg., 1864."
w00221,"Untersuchungen zu Gudrun, 1866."
w00222,"Maiblumen (Lr. einer Stillen im Lande; hrsg. v. Gustav Knak), 1860."
w00223,"Blumen aus Gottes Garten (Lr. u. Ge.), 1902."
w00224,"III, Die Kinder des Kommunisten (Volksschr.), 1877."
w00225,Romant. Erzählungen aus Thüringens Vorzeit; 1885-87.
w00226,"Kinderdramen (Theaterstücke, Puppenspiele ꝛc.), 1888."
w00227,"Im Banne der Schmach (R.), 1885."
w00228,"Dimitar (Histor. R.), 1886."
w00229,"Schloß Übermut (N.), 1898. 2. A. 1902."
w00230,"Arbeit (Schsp.), 1899."
w00231,"Mesalliancen (12 Liebesund Ehegeschichten), 1900."
w00232,"Die Könige (Dr. G.), 1901."
w00233,"Die Sünden der Väter (Novelletten), 1905."
w00234,"Thomas Kerkhoven (R.), 1906. 4. T. 1907."
w00235,"Fräulein Resi (Kom.), 1907."
w00236,"Wider die Natur (N. in V.), 1878."
w00237,"Träumer-Erich (N. in V.), 1879."
w00238,"Gedichte, 1882."
w00239,"Mutterlieder, 1896. Neue Ausg. 1902."
w00240,"Verse, 1900."
w00241,"Gedichte, 1878."
w00242,"V. Gedichte, 1898. 2. A. 1903."
w00243,"Zu höheren Sternen (Ein Strauß relig. Lyrik), 1903."
w00244,"König Gustav Adolfs Vikingerfahrt nach Reval (Ep. G.), 1909."
w00245,"Heimatstimmen (Ein baltisches Iahrbuch; hrsg. mit Viktor Wittrock), 1.- 5. Iahrg. 1904-'12."
w00246,"Reisemomente, 1886. 3. A. 1890."
w00247,"Von der Donau bis zur Demboviza, 1893."
w00248,"Die Iuden im Orient, 1893."
w00249,"Vom Kreuz zum Halbmond, 1894."
w00250,"MittelmeerFragmente, 1895."
w00251,"Im Morgenland, 1896."
w00252,"Streifzüge und Streiflichter, 1897."
w00253,"Ienseit der Pyrenäen (Kulturbilder aus Spanien, Portugal, Marokko), 1898."
w00254,"Unter der britischen Flagge, 1889."
w00255,"Wanderungen in Rußland (Zeitbilder), 1900."
w00256,"Die nordische Atlantis (Island und Faröer). Kulturbilder und Landschaften, 1904."
w00257,"IaeII, 1882."
w00258,"III, 1886."
w00259,"Pyramide u. Ölberg (Reiseerinnerungen), 1877."
w00260,"Konflikte (R.); Verwirrte Fäden (R.), 1882."
w00261,"Vorurteile (R.), 1882."
w00262,"Licht, mehr Licht (Livländischer R.); Eine Schweizerreise (N.), 1891."
w00263,"Herzens-Irrlichter (N.), 1896."
w00264,"Der Schwur auf dem Ölberg (R.), 1897."
w00265,"II, 1881"
w00266,"88. Liederbuch eines Balten, 1880."
w00267,"Sagen und Märchen des estnischen Volkes, übers.;"
w00268,"Gedichte, 1874."
w00269,"Gedichte, 1899. 7. A. 1908."
w00270,"Maienregen, Gottessegen (Volksbuch), 1904."
w00271,"Freud’ und Leid (Ostpreuß. Volksbuch), 1905."
w00272,"Festblüten (Für die Feierstunden der Frauenhilfe), 1. Heft, 1906."
w00273,"Festgedichte und Freundesgüße, 1906."
w00274,"Neue Gedichte, 1908."
w00275,"Kad Wandertage in Italien, 1874."
w00276,"Durstige Tage (Eine welsche Weinwanderung), 1874."
w00277,"Italiens Wunderhorn (Volkslieder in deutscher Übertrg.), 1878."
w00278,"Sommerfahrt durch Italiens südliche Provinzen, 1880."
w00279,"Unter den Olivenbäumen (Süditalien. Volksmärchen), 1880."
w00280,"Italienische Gipsfiguren, 1881. 3. A. 1891."
w00281,"Italien (Eine Sommerfahrt), 1881."
w00282,"Skizzen u. Kulturbilder aus Italien, 1882. 2. A. 1891."
w00283,"Pompejanische Novellen und andere, 1882."
w00284,"Nach dem Süden (Wanderungen; mit Fritz Wernick), 1882."
w00285,"Die Insel Ischia in Natur-, Sittenu. Geschichtsbildern, 1883."
w00286,"Neue Welschlandbilder und Historien, 1886."
w00287,"Sonnenbrut (Kopien realist. Bilder aus der neuesten italienischen Novellistik), 1887."
w00288,"Volkstümliches aus Süditalien, 1896."
w00289,"Rotes Blut und andere Geschichten aus Süditalien, 1897. 2. Aufl. 1900."
w00290,"Aventjuren im Reiche Fabula u. Gedichte, 1906."
w00291,"Romanzen und Lieder, 1910."
w00292,"II, 1898.Kel Ein Fahrenhöft (E. a. dem russischen Leben), 1888. 3. A. 1902."
w00293,"Zweimal gestorben (R. a. d. russischen Leben), 1888. 2. A. 1901."
w00294,"Sein Erbe (desgleichen), 1889. 2. A. 1896."
w00295,"Aus Rußlands Steppen (Christliche En.), 1891. 2. A. 1900."
w00296,"Um freien Glauben (E. a. Südrußland), 1892. 6. T. 1907."
w00297,"Die Natschalniza (R.), 1892. 3. A. u. d. T.: Iadwiga (Die Natschalniza. R. a. d. russisch. Leben der Gegenwart), 1903."
w00298,"Steppenbilder und Steppenleute (En.), 1894. 2. A. 1900."
w00299,"Im Wegewinkel (Etwas für Christen und solche, die es werden wollen), 1894. 10. T. 1904."
w00300,"Heimwärts (En.), 1894. 4. A. 1905."
w00301,"Mosaik, 1895. 2. A. 1901."
w00302,"Mein Fremdenbuch (Erinnergn. an Rußland), 1895. 4. Aufl. 1909."
w00303,"Weihnachtsbüchlein für kleine und große Kinder, 1895."
w00304,"Das Salz der Erde (N.), 1895. 2. A. 1902."
w00305,"Der Brautwächter (N. aus Rußland, 1896. 3. A. 1901."
w00306,"Von hüben und drüben (En.), 1896. 2. A. 1904."
w00307,"Momentbilder vom Karneval (En.), 1897. 4. A. 1902."
w00308,"Im Schatten der Schuld (R.), 1898. 2. Aufl. 1900."
w00309,"Zum Sonntagabend (En.), 1. Bd., 1898. 2. A. u. d. T.: Wenne Pridik (E.), 1902."
w00310,Doktor Vorwärts’ zweite Trauung (R.);
w00311,"Die halbe Verlobung (Sylter N.), 1899."
w00312,"Oberlicht (E.), 1899. 10. T. 1905."
w00313,"Der Vasenpfennig (N. a. d. Gegenwart), 1900."
w00314,"Vom braven Schlingel (E.), 1900."
w00315,"Seine Spuren in der Steppe (E.), 1901."
w00316,"Menschwerdung (Soz. R. a. d. Gegenwart), 1902. 6. A. 1903."
w00317,"Den Meinen erzählt (En.), 1. u. 2. A. 1903."
w00318,"Lebendiges Echo (En.), 1904."
w00319,"Wildes Taufen (E.), 1904."
w00320,"Die goldene Feder. Heilserum (2 En.), 1905."
w00321,"Sein eigen (Lebensbuch für junge Männer), 1905. 4. A. 1909."
w00322,"Ein Höhenweg (Ein Buch f. konfirmierte Mädchen), 1906. 6. A. 1909."
w00323,"Keu Der alte und der neue Glaube (Lebensbild), 1884."
w00324,"Die Kosaken (N. v. Tolstoi, übers.), 1885."
w00325,"Goethes Religion u. Goethes Faust, 1898."
w00326,"Die Braut von Korinth (Tr.), 1843."
w00327,"Rumänische Volkspoesie, übers., 1857. "
w00328,"Aus der Moldau (Bilder u. Sk.), 1860."
w00329,"Kleine Geschichten a. d. großen Welt, 1862."
w00330,"Laskar Vioresku (Moldauisches Genrebild), 1863."
w00331,"Fritz Reckensteg, (R.); II, 1885."
w00332,"Romantik und Naturalismus (Liter. Kreuzu. Quersprünge), 1891."
w00333,"Zwischen Narowa und Niemen (Baltische En. u. Sk.), 1891."
w00334,"Auslese (Schsp.), 1894."
w00335,"Germanenblut im Osten (En. und Sk.), 1894."
w00336,"Im Zuge der Pest (E. a. Kurlands Vorzeit), 1895."
w00337,"Leuktra, Legnano, Tannenberg u. Iena (Militärpolit. Essays), 1906. 1863."
w00338,"Fritz Reckensteg, (R.); II, 1885."
w00339,"Gereimtes und Ungereimtes, 1892."
w00340,"Das Vermächtnis des Tacitus (Sat. von Caligula Quitte [pseudon.]), 1896."
w00341,"Ritter Hans (Schsp.), 1897."
w00342,"Sirenenliebe [Spaltenumbruch] Krü (Ein Rivieraroman), 1897. 2. Aufl. 1902."
w00343,"Waldhüters Weihnacht (Dramat. Festsp. f. Kinder), 1897. 6. T. 1908."
w00344,"Simple Lieder, 1898. 2. A. 1900."
w00345,"Der junge Eichendorff (Beitrag zur Gesch. der Romantik), 1898. 2. A. 1908."
w00346,"Der Weg im Tal (R.), 1900. 4. T. 1905."
w00347,"Pseudoromantik: Friedrich Kind und der Dresdener Liederkreis, 1904."
w00348,"Kritische Studien über das Dresdener Hoftheater, 1904."
w00349,"Gottfried Kämpfer (Ein Herrnhuter Bubenroman), 1904. 28. T. 1910."
w00350,"Der Kronprinz (Dramat. Historie), 1907."
w00351,"Der Graf von Gleichen (Tr.), 1908."
w00352,"Kaspar Krumbholtz (R.); II, 1909‒10. 10. T. 1910."
w00353,"Wilhelm Raabes Anfänge (Literar. Studie), 1911."
w00354,"Erlebtes und Erstrebtes (Ge.), 1911."
w00355,"Andenken aus der Vergangenheit (Lr. a. d. Nachlasse), 1888."
w00356,"Freilicht-Skizzen aus Rußland u. anderes, 1901."
w00357,"Wera Minajew. Kämpfe einer Mädchenseele (R.), 1902."
w00358,"Die Insel des Lebens (M. u. Phantasien), 1906."
w00359,"Mutterschaft (Baltischer R.), 1907."
w00360,"Drei Menschen (Psycholog. N.), 1907."
w00361,"Der Schmerzenssohn (Eine stille Gesch.), 1909."
w00362,"Doppelseele (R.), 1910."
w00363,"Rote Tage (Baltische Nn. a. d. Revolutionszeit), 1911."
w00364,"Gedichte, 1902."
w00365,"Drei Waldmärchen, 1903."
w00366,"Koeur-As (R.), 1905."
w00367,"Nordische Geschichten, 1909."
w00368,"Der Schmied vom Eiland (Ge. Neue Folge), 1909."
w00369,"Am Scheidewege (Ge.), 1898. 2. A. 1900."
w00370,"Die schönen Frauen, 1901."
w00371,"Aus Dunkel und Dämmerung, 1902."
w00372,"Fern von der Heimat (R.); III, 1886."
w00373,"Farbenspiele des Lebens (R.), 1893."
w00374,"Praktisches Mitauer Kochbuch. 4. Aufl. 8. (397) Mitau 1862, Neumanns Verlag. 3.-; geb. 4.-"
w00375,"Lilli (in zehn Liedern) von Minna (pseud.), 1826."
w00376,"Genius, Phantasie u. Imagination (Son.), 1834."
w00377,"Das Paradies u. die Peri (n. Thomas Moore), 1837."
w00378,"Die Psalmen (Auswahl), metrisch übers., 1838."
w00379,"Gedichte, 1848."
w00380,"Stromesopfer (G.), 1850."
w00381,"Die Mißverständnisse eines Abends (nach Goldsmith), 1852."
w00382,"Anna. Ein livländisches Lebensbild (G), 1858."
w00383,"Die Waise (Poet. E.), 1860."
w00384,"Die beiden Efeuranken (M.), 1860."
w00385,"Gedichte, 1862."
w00386,"Aus der Heimat (Ge.), 1880."
w00387,"Doktor Löwenthal, 1888."
w00388,Iohann Reinhold Patkul (Tr.); II (Gertrud Lindenstern.
w00389,"Patkuls Tod), 1879-80."
w00390,"Frau Marianne (Dr.), 1882."
w00391,"Das Buch der Frauen (Zeitpsycholog. Porträts), 1894."
w00392,"Wir Frauen und unsere Dichter, 1895."
w00393,"Zwei Frauenerlebnisse (Nn.), 1895."
w00394,"Karla Bühring (Frauendrama), 1895."
w00395,"Frau Lilly als Iungfrau, Gattin und Mutter, 1896."
w00396,"Der Weg nach Altötting und andere Novellen, 1900."
w00397,"Buch der Toten, 1900."
w00398,"Zündende RepertoireCouplets und Vorträge, 1894."
w00399,"Der Dämon (Schsp. nach Lermontow), 1894."
w00400,"Das Geld liegt auf der Straße (Schsp.), 1895."
w00401,"Das große illustrierte Dichterund Künstlerbuch (Anthol.), 1896."
w00402,"Gedichte, 1872."
w00403,"Elsi. Ein Frauenleben (R.), 1905. 2. A. 1910."
w00404,"Eine Erzpessimistin, 1882."
w00405,"Madame Ackermann (Literarhist. Studie), 1882."
w00406,"Reckenspäße (Heiteres Epos), 1896."
w00407," Ferienblüten (Ge.), 1902."
w00408,"Der psychologische Augenblick (Schw.), 1904."
w00409,"Aus siebzehn Zungen (Lr. und Ge., verdeutscht), 1874."
w00410,"Durstige Lieder, 1876. 4. A. 1900."
w00411,"Irung u. Irminfried (Kneiphumoreske), 1880."
w00412,"Juchheidi! (Neue durstige Lr.), 1900."
w00413,"Gedichte, 1892."
w00414,"Festspiel zur Feier der 25 jähr. Direktionsführung d. H. Ed. Berent, 1894."
w00415,"II, 1870.II, 1872.IV,Der Müller v. Pranitz (Dorfgesch.), 1868."
w00416,Ein Judenmädchen (R.)
w00417,Im Sturm der Zeit (R.)
w00418,Siegwart Morgenländer (R.); 1873.
w00419,"NadII. (Schsp., 1872)."
w00420,Im BoudoirI. (Schsp.).
w00421,"Beethovens Maiblüten (Ge.), 1858."
w00422,"Der Grobian (Lsp.), 1880."
w00423,"Sankta Veritas (Ep. D.), 1897."
w00424,"Als Manuskript gedruckt: Ein Geheimnis unter Joseph der Pompadour (Lsp., 1873)."
w00425,Deutsche Ehr’ und Wehr (Schauspiel).
w00426,Stephan Lasontzy (Histor. Schausp.).
w00427,Die Tochter des Defraudanten (Schsp.).
w00428,Im Lande der Philister (Schsp.).
w00429,"Das Midas-Fest, oder: Das Eselsglück (Humoreske), 1907."
w00430,"Dramatische Dichtungen (Schspe.: John Williams. - Der Tugendbold. - Fesseln), 1894."
w00431,"Die Silberhochzeit (Komödie), 1902."
w00432,"Berliner Künstler-Silhouetten, 1902."
w00433,"Die Nähnadel des Hetman (N.), 1883."
w00434,"Das Lied von der Heerfahrt Igors (Ep., aus dem Altrussischen), 1884."
w00435,"III, 1902 [Inhalt: I. Das Recht aufII. Die TreueIII. Die Spitzen (Dr.)]."
w00436,"Les-III. 1906.Vom Baume der Erkenntnis (Dr.), 1899. 2. A. 1906."
w00437,"Der Sündenfall (Dr.), 1900."
w00438,Adam (Dramenzyklus); Reinheit (Prolog).
w00439,(Dr.).
w00440,sing u. das Theater der Gegenwart;
w00441,"Pet Ernst von Schwaben (Tr.), 1873."
w00442,"Konrad von Marburg (Tr.), 1876."
w00443,"Balladen, 1877."
w00444,"Die Eroberung von Konstantinopel (Tr.), 1883."
w00445,"Feldblumen (Ge.), 1860."
w00446,"Klänge vom Donaustrand (Ge.), 1864."
w00447,"Gebrochene Rosen (Ge.), 1866."
w00448,"Wird er wieder kommen? (N.), 1868."
w00449,"Gescheitert und geläutert (R.), 1870."
w00450,"Sagen und Märchen, 1872."
w00451,"Heimatklänge (Ge.), 1875."
