Name	GND
Arno Alex	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Arno Hermann	https://d-nb.info/gnd/125779437X	https://d-nb.info/gnd/130288753X
Arno Karl	1321497105
Arnold Franz	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Arnold Hans	104626178
Arnswaldt Karl	https://d-nb.info/gnd/116352639	https://d-nb.info/gnd/140284877	https://d-nb.info/gnd/117764116
Artaria R.	11642284X
Arter Emil	1027740332
Arthalis	116749113
Arthur Johannes	1238423175
Artl Heinrich Stanislaus	11776633X
Artopé Theodor	117766364
Arwed Ernst	https://d-nb.info/gnd/1055098461	https://d-nb.info/gnd/120148056	https://d-nb.info/gnd/1014569036
Arx Adrian	13156515X
Arz Gustav	https://d-nb.info/gnd/1055309896	https://d-nb.info/gnd/1104957345	https://d-nb.info/gnd/16060694-9	https://d-nb.info/gnd/1056626852	https://d-nb.info/gnd/1105680479
Ascharin Andreas	1044287187
Aschenbach Hanna	117765295
Aschenberg Th.	1210278561
Ascheraden M.	1074105532
Asenijeff Elsa	118973088
Asmodi	https://d-nb.info/gnd/125976232	https://d-nb.info/gnd/10293252-9	https://d-nb.info/gnd/1225975301	https://d-nb.info/gnd/116361441	https://d-nb.info/gnd/101863756	https://d-nb.info/gnd/173131727	https://d-nb.info/gnd/1238174299	https://d-nb.info/gnd/1217607064	https://d-nb.info/gnd/16042641-8	https://d-nb.info/gnd/1308819013
Asmus Georg	https://d-nb.info/gnd/1238962408	https://d-nb.info/gnd/1046536842	https://d-nb.info/gnd/1033330329	https://d-nb.info/gnd/11850469X
Asmus Martha	116361492
Asmus Wilhelm	1101614331
Asmussen Georg	11850469X
Aßmus Burghard Hartwig	122348699
Assur David Jakob	117750301
Astfalk Cäsar	kein Eintrag von api gefunden
Astl-Leonhard Anna	117765716
Astl-Leonhard Hugo	117765732
Aston Luise	118650769
Astura Manfred	115907299X
Ati Kambang	118097628
Attol G	116647337
Au E. L.	129108030
Aub Ludwig	116376236
Aubingen Franz	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Auch August Karl	https://d-nb.info/gnd/117765899	https://d-nb.info/gnd/104353384	https://d-nb.info/gnd/116288965	https://d-nb.info/gnd/128511850	https://d-nb.info/gnd/120399512
Audorf Jakob	126147701
Aue Ulrich	11776597X
Auer Adelheid	113665946
Auer Erwin	117765996
Auer Grete	119290804
Auer Ludwig	11891216X
Auerbach Alfred	https://d-nb.info/gnd/116377208	https://d-nb.info/gnd/133969940
Auerbach Berthold	11865103X
Auerbach Ludwig	https://d-nb.info/gnd/116377445	https://d-nb.info/gnd/130555851
Auernheimer Raoul	https://d-nb.info/gnd/118505033	https://d-nb.info/gnd/1021277290	https://d-nb.info/gnd/116377577	https://d-nb.info/gnd/118550241
Auersperg Anton Alexander	118719033
Auffenberg Joseph	https://d-nb.info/gnd/171955617	https://d-nb.info/gnd/11850505X	https://d-nb.info/gnd/117203262
Aufrecht Theodor	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
August Karl	https://d-nb.info/gnd/101450621	https://d-nb.info/gnd/120042827
Augusti Bertha	https://d-nb.info/gnd/116214678	https://d-nb.info/gnd/1021412740
Augusti Brigitte	https://d-nb.info/gnd/1183333269	https://d-nb.info/gnd/117764876
Augustin Ferdinand	https://d-nb.info/gnd/143302957	https://d-nb.info/gnd/101625340	https://d-nb.info/gnd/11812899X
Augustin Marie	1253877580
Augustiny Johann Rhode Friedrich	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Augustiny Thomas Friedrich	117764922
Augustsohn W	113665954
Aulenbach Friedrich	10315812X
Aulenbach Karl	https://d-nb.info/gnd/117764620	https://d-nb.info/gnd/10315812X
Ausfeld Anna	1035607891
Ausfeld Karl	117765090
Außhart Sebastian	11776518X
Aust Gerhard	116570814
Austerlitz Rose	11776521X
Auzinger Peter	116388846
Avé-Lallemant Friedrich Christian Benedikt	116388951
Avé-Lallemant Robert Christian Berthold	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
