Name	GND
Behrens Anna	https://d-nb.info/gnd/116111062	https://d-nb.info/gnd/1024214184	https://d-nb.info/gnd/1266673652
Behrens Bertha	104352787
Beier Sophie	https://d-nb.info/gnd/123427065X	https://d-nb.info/gnd/4803228-1
Békássy Helene	kein Eintrag von api gefunden
Bellamine 	3012992-8
Belli M	116114797
Belmonte)-Groag Carola	kein Eintrag von api gefunden
Below Anna	https://d-nb.info/gnd/1029077142	https://d-nb.info/gnd/1038702836	https://d-nb.info/gnd/1029077274	https://d-nb.info/gnd/104199164
Below Hedwig	118120816
Below Ottilie	11812109X
Benda A.	https://d-nb.info/gnd/1052908675	https://d-nb.info/gnd/1073435881
Bender Auguste	116117966
Bender Elise	127735542
Bender Hedwig	https://d-nb.info/gnd/117585017	https://d-nb.info/gnd/174058802
Bender Hilda	kein Eintrag von api gefunden
Benfey-Schuppe Anna	116120495
Beniczky-Bajza Helene	kein Eintrag von api gefunden
Benlow Meta	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Bentivegni Ina	1065065310
Bentlage C	117768871
Béran Leopoldine	kein Eintrag von api gefunden
Berber Agnes	kein Eintrag von api gefunden
Berdot René	kein Eintrag von api gefunden
Berendt Marie	https://d-nb.info/gnd/11816595X	https://d-nb.info/gnd/116427612	https://d-nb.info/gnd/1207303364	https://d-nb.info/gnd/1207307246
Berens Clara	kein Eintrag von api gefunden
Berensmann Mathilde	kein Eintrag von api gefunden
Bérézine Minka	1158092253
Berg A.	https://d-nb.info/gnd/1244345512	https://d-nb.info/gnd/1113195649	https://d-nb.info/gnd/1151162035	https://d-nb.info/gnd/2021625-7	https://d-nb.info/gnd/4577391-9	https://d-nb.info/gnd/4500134-0
Berg C	1157571948
Berg Maria	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Berg Paula	1173380884
Berge Elisabeth	https://d-nb.info/gnd/1292162325	https://d-nb.info/gnd/11819397X
Berge Felicitas	11819397X
Bergen Leo	https://d-nb.info/gnd/1257280899	https://d-nb.info/gnd/101447809X
Berger Adele	https://d-nb.info/gnd/1036250822	https://d-nb.info/gnd/1132254329
Berger Adeline	1136967575
