,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
139,"Altwasser, Theodor",Altwasser Theodor,Altwasser,Theodor,6. März 1824
140,"Alvensleben, Karl Ludwig Friedr. Wilh. Gustav von",Alvensleben Karl Ludwig Friedr. Wilh. Gustav,Alvensleben,Karl Ludwig Friedr. Wilh. Gustav,4. Aug. 1868
141,"Aly, Eduard",Aly Eduard,Aly,Eduard,24. Dezbr.1854
142,"Amadei, Anna Gräfin",Amadei Anna,Amadei,Anna,5. März 1828
143,Amalie Eleonore Sophie Karoline Prinzessin zu Schleswig-Holstein-Augustenburg,Amalie Eleonore Sophie Karoline,,Amalie Eleonore Sophie Karoline ,14. Juni 1841
144,"Amas, Hermann",Amas Hermann,Amas,Hermann,.
145,"Amberg, Berthold",Amberg Berthold,Amberg,Berthold,.
146,"Ambrosius, Johanna",Ambrosius Johanna,Ambrosius,Johanna,.
147,"Amelang, Gustav",Amelang Gustav,Amelang,Gustav,14. Dezbr. 1894
148,"Amelang, Theodor",Amelang Theodor,Amelang,Theodor,18.Novbr. 1812
149,"am Ende, Ernst",am Ende Ernst,am Ende,Ernst,24. Dezbr.1804
150,"am Ende, Christian Gottlob Ernst",am Ende Christian Gottlob Ernst,am Ende,Christian Gottlob Ernst,18. Juli 1890
151,"Amerlan, Albert",Amerlan Albert,Amerlan,Albert,.
152,"Amerlan, Frieda",Amerlan Frieda,Amerlan,Frieda,19.März 1841
153,"Am-Herd, Paul",Am-Herd Paul,Am-Herd,Paul,8. Mai1825
154,"Aemilius, Theodor",Aemilius Theodor,Aemilius,Theodor,.
155,"Amlacher, Albert",Amlacher Albert,Amlacher,Albert,27.Dezbr. 1847
156,"Ammann, August",Ammann August,Ammann,August,25.Januar 1839
157,"Ammann, Heinrich",Ammann Heinrich,Ammann,Heinrich,25.Mai 1864
158,"Ammer, Theodor von der",Ammer Theodor,Ammer,Theodor,.
159,"Amor, G",Amor G,Amor,G,.
160,"Amschl, Alfred",Amschl Alfred,Amschl,Alfred,7. Juni 1852
161,"Amster, Moritz",Amster Moritz,Amster,Moritz,13. Febr.1831
162,"Amyntor, Gerhard",Amyntor Gerhard,Amyntor,Gerhard,.
163,"Anderegg, Felix",Anderegg Felix,Anderegg,Felix,21. Juni 1834
164,Ander Linth,Ander Linth,Ander Linth,,.
165,"Anders, Fritz",Anders Fritz,Anders,Fritz,.
166,"Anders, Ernst Ludwig Theodor",Anders Ernst Ludwig Theodor,Anders,Ernst Ludwig Theodor,8. Juli 1845
167,"Anders, N. J",Anders N. J,Anders,N. J,.
168,"Anders, Paul",Anders Paul,Anders,Paul,.
169,"Anderten, Eta von",Anderten Eta,Anderten,Eta,27.Novbr. 1863
170,"Andolt, Ernst",Andolt Ernst,Andolt,Ernst,.
171,"Andrae-Romanek, M",Andrae-Romanek M,Andrae-Romanek,M,.
172,"André, Hugo",André Hugo,André,Hugo,.
173,"André, Viktor",André Viktor,André,Viktor,14. Aug.1862
174,"Andrea, Antonia",Andrea Antonia,Andrea,Antonia,.
175,"Andrea, Silvia",Andrea Silvia,Andrea,Silvia,.
176,"Andreae, Frieda",Andreae Frieda,Andreae,Frieda,15. März1840
177,"Andreae, Katy",Andreae Katy,Andreae,Katy,.
178,"Andreae, Percy",Andreae Percy,Andreae,Percy,31.Oktbr. 1858
179,"Andreä, Johann Georg Friedrich Wilhelm",Andreä Johann Georg Friedrich Wilhelm,Andreä,Johann Georg Friedrich Wilhelm,28. Novbr. 1882
180,"Andreas, Alexander",Andreas Alexander,Andreas,Alexander,.
181,"Andreas-Salomé, Lou",Andreas-Salomé Lou,Andreas-Salomé,Lou,.
182,"Andrejanoff, Viktor von",Andrejanoff Viktor,Andrejanoff,Viktor,22. Juli 1857
183,"Andres, Karl",Andres Karl,Andres,Karl,.
184,"Andresen, Jngeborg",Andresen Jngeborg,Andresen,Jngeborg,.
185,"Andresen, Stine",Andresen Stine,Andresen,Stine,23.Dezember 1849
186,"Andrießen, Gustav",Andrießen Gustav,Andrießen,Gustav,7. März 1830
187,Androclus,Androclus,Androclus,,.
188,"Angelstern, Wilhelm",Angelstern Wilhelm,Angelstern,Wilhelm,.
189,"Angely, M",Angely M,Angely,M,.
190,"Angely-Geyer, Rudolf",Angely-Geyer Rudolf,Angely-Geyer,Rudolf,.
191,"Angenetter, August",Angenetter August,Angenetter,August,27. Aug. 1876
192,"Anger, Siegfried",Anger Siegfried,Anger,Siegfried,17.Oktbr. 1837
193,"Angerstein, Wilhelm Emil",Angerstein Wilhelm Emil,Angerstein,Wilhelm Emil,20.Aug. 1835
194,"Anhäuser, Wilhelm",Anhäuser Wilhelm,Anhäuser,Wilhelm,11. Novbr. 1841
195,"Anhuth, Klara",Anhuth Klara,Anhuth,Klara,3. Jan.1856
196,"Annas, Wilhelm Ernst",Annas Wilhelm Ernst,Annas,Wilhelm Ernst,19. April 1859
197,"Anneke, Mathilde",Anneke Mathilde,Anneke,Mathilde,Juni 1847
198,"Anno, Anton",Anno Anton,Anno,Anton,19. März1838
199,"Annuske, Elise",Annuske Elise,Annuske,Elise,.
200,"Anschütz, Roderich",Anschütz Roderich,Anschütz,Roderich,24. Juli 1818
201,Ansion-Hasatty,Ansion-Hasatty,Ansion-Hasatty,,25. Mai 1863
202,"Aenstoots, Stanislaus",Aenstoots Stanislaus,Aenstoots,Stanislaus,19. März 1843
203,"Anthes, Otto",Anthes Otto,Anthes,Otto,.
204,"Anthony, Wilhelm",Anthony Wilhelm,Anthony,Wilhelm,Februar 1837
205,"Anthus, Antonino",Anthus Antonino,Anthus,Antonino,.
206,"Anton, Helene",Anton Helene,Anton,Helene,8. Mai 1857
207,"Anzengruber, Johann",Anzengruber Johann,Anzengruber,Johann,21. März 1810
208,"Anzengruber, Ludwig",Anzengruber Ludwig,Anzengruber,Ludwig,29. November 1839
209,"Anzoletti, Patritius",Anzoletti Patritius,Anzoletti,Patritius,17. Mai 1838
210,"Apel, Guido Theodor",Apel Guido Theodor,Apel,Guido Theodor, Mai 1811
211,"Apel, Paul",Apel Paul,Apel,Paul,2. Aug. 1872
212,"Apelt, Franz Ulrich",Apelt Franz Ulrich,Apelt,Franz Ulrich,23.Dezbr. 1882
213,"Apelt, Hans Willibald",Apelt Hans Willibald,Apelt,Hans Willibald,18. Oktbr. 1877
214,"Apitz, Hermann Edwin",Apitz Hermann Edwin,Apitz,Hermann Edwin,31. März 1878
215,"Appel, Karl",Appel Karl,Appel,Karl,12. März1847
216,"Appelt, Wilhelm",Appelt Wilhelm,Appelt,Wilhelm,21.Mai 1841
