,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
335,"Bacciocco, Friedr. Albrecht",Bacciocco Friedr. Albrecht,Bacciocco,Friedr. Albrecht,10. Oktbr. 1834
336,"Bach, Friedrich",Bach Friedrich,Bach,Friedrich,5. Septbr.1865
337,"Bach, Hugo",Bach Hugo,Bach,Hugo,30. Juni 1873
338,"Bach, Jenny",Bach Jenny,Bach,Jenny,.
339,"Bach, Ottilie",Bach Ottilie,Bach,Ottilie,6.Juli 1836
340,"Bach, Paul",Bach Paul,Bach,Paul,.
341,"Bach, Samuel",Bach Samuel,Bach,Samuel,.
342,"Bach-Gelpke, Marie Luise",Bach-Gelpke Marie Luise,Bach-Gelpke,Marie Luise,26. Juni 1836
343,"Bacher, Eduard",Bacher Eduard,Bacher,Eduard,Juli 1879
344,"Bacher, Julius",Bacher Julius,Bacher,Julius,8.August 1810
345,"Bacheracht, Therese von",Bacheracht Therese von,Bacheracht,Therese von,4. Juli 1804
346,"Bacherer, Gustav",Bacherer Gustav,Bacherer,Gustav,27.Febr. 1813
347,"Bacherl, Franz",Bacherl Franz,Bacherl,Franz,10. Juni1808
348,"Bachmann, Franz",Bachmann Franz,Bachmann,Franz,1.Februar 1865
349,"Bachmann, Georg",Bachmann Georg,Bachmann,Georg, Febr. 1852
350,"Bachmann, Hermann",Bachmann Hermann,Bachmann,Hermann,.
351,"Bachmann, Johann",Bachmann Johann,Bachmann,Johann,1.Febr. 1852
352,"Bachmayr, Johann Nepomuk",Bachmayr Johann Nepomuk,Bachmayr,Johann Nepomuk,28. Febr. 1819
353,"Bachoven von Echt, Karl Anton Hubert",Bachoven von Echt Karl Anton Hubert,Bachoven von Echt,Karl Anton Hubert,26. April 1811
354,"Bächtold, Elisabeth Florentine",Bächtold Elisabeth Florentine,Bächtold,Elisabeth Florentine,3. Juli 1851
355,"Bäcker, Heinrich",Bäcker Heinrich,Bäcker,Heinrich,10. Juli1853
356,"Backhaus, Wilhelm Emanuel",Backhaus Wilhelm Emanuel,Backhaus,Wilhelm Emanuel,26. März 1826
357,"Bacmeister, Adolf",Bacmeister Adolf,Bacmeister,Adolf,27. April 1848
358,"Bacmeister, Hermann",Bacmeister Hermann,Bacmeister,Hermann, Oktbr.1846
359,"Bacmeister, Johann",Bacmeister Johann,Bacmeister,Johann,27.Januar 1841
360,"Bacmeister, Lucie",Bacmeister Lucie,Bacmeister,Lucie,21. Oktbr. 1843
361,"Bacmeister, Ernst",Bacmeister Ernst,Bacmeister,Ernst,12. Novbr.1874
362,"Badendieck, Alexander Andreas",Badendieck Alexander Andreas,Badendieck,Alexander Andreas,.
363,"Badenfeld, Eduard Freiherr von",Badenfeld Eduard,Badenfeld,Eduard,.
364,"Bader, Franz",Bader Franz,Bader,Franz,19. Dezbr.1843
365,"Badke, Hermann Otto",Badke Hermann Otto,Badke,Hermann Otto,16. Juli 1851
366,"Baege, Paul",Baege Paul,Baege,Paul,25. Novbr.1876
367,"Bagge, Oskar",Bagge Oskar,Bagge,Oskar,31. März 1873
368,"Bagienski, Trußka von",Bagienski Trußka,Bagienski,Trußka,.
369,"Bahlmann, Paul",Bahlmann Paul,Bahlmann,Paul,19. April 1857
370,"Bahlsen, Leopold",Bahlsen Leopold,Bahlsen,Leopold,23.Juli 1860
371,"Bahn, Adolf",Bahn Adolf,Bahn,Adolf,7. Juni 1813
372,"Bahr, Erich Hermann",Bahr Erich Hermann,Bahr,Erich Hermann,19. Juli 1863
373,"Baehr, Paul",Baehr Paul,Baehr,Paul,.
374,"Bahrs, Karl",Bahrs Karl,Bahrs,Karl,23. Februar1840
375,"Baier, Benjamin",Baier Benjamin,Baier,Benjamin, Februar 1881
376,"Baierlein, Joseph",Baierlein Joseph,Baierlein,Joseph,21.Januar 1839
377,"Baierlein, Marie",Baierlein Marie,Baierlein,Marie,22. Januar 1869
378,"Baisch, Otto",Baisch Otto,Baisch,Otto,4. Mai1840
379,"Baist, Gustav",Baist Gustav,Baist,Gustav,.
380,"Bajovar, Joseph",Bajovar Joseph,Bajovar,Joseph,.
381,"Bakody, Theodor",Bakody Theodor,Bakody,Theodor,.
382,"Balckevon Enckevort, Johanna",Balckevon Enckevort Johanna,Balckevon Enckevort,Johanna,.
383,"Baldauf, Grete",Baldauf Grete,Baldauf,Grete,.
384,"Baldegg, Hartmann von",Baldegg Hartmann,Baldegg,Hartmann,.
385,"Balder, Armin",Balder Armin,Balder,Armin,.
386,"Balder, Erwin",Balder Erwin,Balder,Erwin,.
387,"Ballestrem, Eufemia",Ballestrem Eufemia,Ballestrem,Eufemia,.
388,"Balmer, Hans Friedrich",Balmer Hans Friedrich,Balmer,Hans Friedrich,.
389,"Baltz, Johanna",Baltz Johanna,Baltz,Johanna,.
390,"Baltzer, Wilhelm Eduard",Baltzer Wilhelm Eduard,Baltzer,Wilhelm Eduard,5. Januar 1847
391,"Baltzer, Friedrich",Baltzer Friedrich,Baltzer,Friedrich,22. Jan. 1885
392,"Baltzer, Jeannette",Baltzer Jeannette,Baltzer,Jeannette,.
393,"Bamberger, Georg",Bamberger Georg,Bamberger,Georg,20. Dezbr. 1860
394,"Bames, Karl",Bames Karl,Bames,Karl,16. Aug. 1806
395,"Bamme, Julius",Bamme Julius,Bamme,Julius,10.Juli 1828
396,"Bancels, Marie Luise von",Bancels Marie Luise,Bancels,Marie Luise,8. September 1878
397,"Banck, Otto Alexander",Banck Otto Alexander,Banck,Otto Alexander,17. März 1824
398,"Band, Moriz",Band Moriz,Band,Moriz,6. Oktbr.1864
399,"Band, Viktor",Band Viktor,Band,Viktor,1. März1861
400,"Bandlin, Johann Baptist",Bandlin Johann Baptist,Bandlin,Johann Baptist,6. Mai 1801
401,"Bandlow, Heinrich",Bandlow Heinrich,Bandlow,Heinrich,14.April 1855
402,"Bannenberg, Ferdinand",Bannenberg Ferdinand,Bannenberg,Ferdinand,23. April 1858
403,"Bänninger, J. J",Bänninger J. J,Bänninger,J. J,24.Juli 1821
404,"Banspach, Andreas",Banspach Andreas,Banspach,Andreas,30.April 1824
405,"Baer, Berthold A",Baer Berthold A,Baer,Berthold A,3.März 1867
406,"Baer, Jda",Baer Jda,Baer,Jda,.
407,"Baer, Edle von Huthorn",Baer,Baer,,.
408,"Bär, Michel",Bär Michel,Bär,Michel,.
409,"Baer (eigentlich Baar), Oswald",Baer Oswald,Baer,Oswald,2. April 1847
410,"Baer, Salomon",Baer Salomon,Baer,Salomon,.
411,"Barach, Moritz",Barach Moritz,Barach,Moritz,14. Febr. 1888
412,"Barach, Rosa",Barach Rosa,Barach,Rosa,.
413,"Barack, Max",Barack Max,Barack,Max,26. Febr.1832
414,"Baranowsky, Karl Ernst",Baranowsky Karl Ernst,Baranowsky,Karl Ernst,3. Juli 1853
415,"Barazetti, Sophie",Barazetti Sophie,Barazetti,Sophie, Juli 1907
416,"Barber, Emil",Barber Emil,Barber,Emil,.
417,"Barber, Jda",Barber Jda,Barber,Jda,19. Juli 1842
418,"Bardach, Rachel",Bardach Rachel,Bardach,Rachel,.
419,"Bardas, Walther",Bardas Walther,Bardas,Walther,.
420,"Bardenhewer, Hugo",Bardenhewer Hugo,Bardenhewer,Hugo,.
421,"Bardey, Franz Martin Christian Johann",Bardey Franz Martin Christian Johann,Bardey,Franz Martin Christian Johann,7 Septbr.1865
422,"Bardi, Rachel",Bardi Rachel,Bardi,Rachel,.
423,"Barfus, Eginhard von",Barfus Eginhard,Barfus,Eginhard,7. Novbr. 1825
424,"Bargen, H. N. von",Bargen H. N.,Bargen,H. N.,.
425,"Bargmann, Bernhard Alex ander",Bargmann Bernhard Alex ander,Bargmann,Bernhard Alex ander,15. März 1856
426,"Baring, Natalie",Baring Natalie,Baring,Natalie,21.Dezbr. 1835
427,"Barinkay, S",Barinkay S,Barinkay,S,.
428,"Barndt, Jsidor",Barndt Jsidor,Barndt,Jsidor,24. Febr. 1891
429,"Barnickel, Heinrich Karl Theodor",Barnickel Heinrich Karl Theodor,Barnickel,Heinrich Karl Theodor,1. Juni 1845
430,"Baron, Emma",Baron Emma,Baron,Emma,.
431,"Baroncz, Raphael",Baroncz Raphael,Baroncz,Raphael,25.April 1847
432,"Barre, Ernst",Barre Ernst,Barre,Ernst,18.Januar 1843
433,"Barsch, Paul",Barsch Paul,Barsch,Paul,16.März 1860
434,"Barsch, Hedwig",Barsch Hedwig,Barsch,Hedwig,27. Jan. 1853
435,"Bartels, Adolf",Bartels Adolf,Bartels,Adolf,15. Nov.1862
436,"Bartels, Daniel",Bartels Daniel,Bartels,Daniel,18. Novbr. 1818
437,"Bartels, Friedrich",Bartels Friedrich,Bartels,Friedrich,11.Januar 1877
438,"Bartels, Wanda von",Bartels Wanda,Bartels,Wanda,.
439,"Bartenstein, Karoline Freiin von",Bartenstein Karoline,Bartenstein,Karoline,4. Mai 1827
440,"Barth, Hermann",Barth Hermann,Barth,Hermann,14. Juli 1813
441,"Barth, Wilhelm Gottfried Hermann",Barth Wilhelm Gottfried Hermann,Barth,Wilhelm Gottfried Hermann,30. April 1866
442,"Barth, Karl",Barth Karl,Barth,Karl,2. Juni1811
443,"Barth, Paul",Barth Paul,Barth,Paul,1. August1858
444,"Barthel, Johann Franz Ludwig",Barthel Johann Franz Ludwig,Barthel,Johann Franz Ludwig,22.März 1853
445,"Barthel, Gustav Emil",Barthel Gustav Emil,Barthel,Gustav Emil,21. Juli 1835
446,"Barthelmes, Gretchen",Barthelmes Gretchen,Barthelmes,Gretchen,.
447,"Barthels, Karl Ludwig",Barthels Karl Ludwig,Barthels,Karl Ludwig,5. Juni 1864
448,"Bartolomäus, Richard",Bartolomäus Richard,Bartolomäus,Richard,24. Juni 1856
449,"Bartsch, Karl Friedrich",Bartsch Karl Friedrich,Bartsch,Karl Friedrich,25. Febr. 1832
450,"Bartsch, Reinhold",Bartsch Reinhold,Bartsch,Reinhold,.
451,"Bartsch, Rudolf Hans",Bartsch Rudolf Hans,Bartsch,Rudolf Hans,11. Febr. 1873
452,"Bartz, Richard",Bartz Richard,Bartz,Richard,28.Septbr. 1880
453,"Bärwinkel, Friedrich Konstantin",Bärwinkel Friedrich Konstantin,Bärwinkel,Friedrich Konstantin,4. Juni 1827
454,"Baesecke, Georg",Baesecke Georg,Baesecke,Georg,13.Januar 1876
455,"Basedow, Adolf von",Basedow Adolf,Basedow,Adolf,15. März 1825
456,"Basedow, Hans von",Basedow Hans,Basedow,Hans,30. Juli 1864
457,"Basel, Richard",Basel Richard,Basel,Richard,.
458,"Bassewitz, Karl Johann Friedrich Franz",Bassewitz Karl Johann Friedrich Franz,Bassewitz,Karl Johann Friedrich Franz,6. Novbr. 1809
459,"Bäßler, Ernst Ferdinand",Bäßler Ernst Ferdinand,Bäßler,Ernst Ferdinand,26. Januar 1816
460,"Bastian, Ferdinand",Bastian Ferdinand,Bastian,Ferdinand,27.Mai 1868
461,"Battke, Ada",Battke Ada,Battke,Ada, Oktbr. 1897
462,"Batz, Karl Wilhelm",Batz Karl Wilhelm,Batz,Karl Wilhelm,8. Juli 1838
463,"Bätzer, Fink",Bätzer Fink,Bätzer,Fink,12. April1874
464,"Bauch, Hermann",Bauch Hermann,Bauch,Hermann,17.März 1856
465,"Bauch, Ludwig Julius",Bauch Ludwig Julius,Bauch,Ludwig Julius,.
466,"Bauck, Elisabeth",Bauck Elisabeth,Bauck,Elisabeth,18.Septbr. 1878
467,"Baudissin, Adalbert Heinrich Graf von",Baudissin Adalbert Heinrich,Baudissin,Adalbert Heinrich,25. Jan. 1820
468,"Baudissin, Ulrich Graf von",Baudissin Ulrich,Baudissin,Ulrich,22. Februar 1816
469,"Baudissin, Wolf Friedrich Ottomar Graf von",Baudissin Wolf Friedrich Ottomar,Baudissin,Wolf Friedrich Ottomar,22. Jan. 1812
470,"Baudissin, Asta Gräfin von",Baudissin Asta,Baudissin,Asta,2. Januar 1888
471,"Baudissin, Eva Gräfin von",Baudissin Eva,Baudissin,Eva,8. Oktbr. 1869
472,"Baudissin, Sophie Gräfin von",Baudissin Sophie,Baudissin,Sophie,4. April 1878
473,"Baudissin, Wolf Graf von",Baudissin Wolf,Baudissin,Wolf, Mai1887
474,"Bauer, Erwin Heinrich",Bauer Erwin Heinrich,Bauer,Erwin Heinrich, Januar 1857
475,"Bauer, Fritz",Bauer Fritz,Bauer,Fritz,20. Febr.1865
476,"Bauer, Heinrich",Bauer Heinrich,Bauer,Heinrich,9. Februar 1838
477,"Bauer, Heribert",Bauer Heribert,Bauer,Heribert,.
478,"Bauer, Hermann Theodor",Bauer Hermann Theodor,Bauer,Hermann Theodor,1. November 1850
479,"Bauer, Karl",Bauer Karl,Bauer,Karl,3. Oktbr.1869
480,"Bauer, Klara",Bauer Klara,Bauer,Klara,29. Juni 1876
481,"Bauer, Ludwig Amandus",Bauer Ludwig Amandus,Bauer,Ludwig Amandus,15. Oktbr. 1803
482,"Bauer, Ludwig Cölestin",Bauer Ludwig Cölestin,Bauer,Ludwig Cölestin,19. Mai 1832
483,"Bauer, Ludwig",Bauer Ludwig,Bauer,Ludwig,.
484,"Bauer, Martin",Bauer Martin,Bauer,Martin,.
485,"Bauer, Max",Bauer Max,Bauer,Max,1. Juli 1829
486,"Bauer, Max",Bauer Max,Bauer,Max,19. Januar1861
487,"Bauer, Moritz",Bauer Moritz,Bauer,Moritz,16. Juli 1878
488,"Bauer, O. G",Bauer O. G,Bauer,O. G,.
489,"Bauer (-Friedenau), Otto",Bauer Otto,Bauer,Otto,5. Septbr. 1845
490,"Bauer, Philipp",Bauer Philipp,Bauer,Philipp,.
491,"Bauer, Willy",Bauer Willy,Bauer,Willy,25. Januar1880
492,"Bauermeister, Max",Bauermeister Max,Bauermeister,Max,25.Febr. 1841
493,"Bauernfeld, Eduard",Bauernfeld Eduard,Bauernfeld,Eduard,13. Jan. 1802
494,"Bauernschmitt, Joseph Erhard Franz Lothar",Bauernschmitt Joseph Erhard Franz Lothar,Bauernschmitt,Joseph Erhard Franz Lothar,31. Mai 1814
495,"Bauerreiß, Heinrich",Bauerreiß Heinrich,Bauerreiß,Heinrich,.November 1838
496,"Bauhofer, Arthur",Bauhofer Arthur,Bauhofer,Arthur,13. April1854
497,"Baum, Gustav",Baum Gustav,Baum,Gustav,.
498,"Baum, Oskar",Baum Oskar,Baum,Oskar,21. Jan.1883
499,"Baum, Johann Peter",Baum Johann Peter,Baum,Johann Peter,30. Septbr. 1869
500,"Baumann, Alexander",Baumann Alexander,Baumann,Alexander,7. Febr. 1814
501,"Baumann, August",Baumann August,Baumann,August,24.Oktbr. 1829
502,"Baumann, Jakob",Baumann Jakob,Baumann,Jakob,19. Aug. 1888
503,"Baumann, Jakob Konrad",Baumann Jakob Konrad,Baumann,Jakob Konrad,7. Aug. 1856
504,"Baumann, Johannes",Baumann Johannes,Baumann,Johannes,22. Januar 1847
505,"Baumbach, Eduard",Baumbach Eduard,Baumbach,Eduard, Dezbr. 1821
506,"Baumbach, Nicolai",Baumbach Nicolai,Baumbach,Nicolai,27. Juli 1831
507,"Baumbach, Felix",Baumbach Felix,Baumbach,Felix,6. März1876
508,"Baumbach, Klara",Baumbach Klara,Baumbach,Klara,.
509,"Baumbach, Rudolf",Baumbach Rudolf,Baumbach,Rudolf,28. Septbr. 1840
510,"Baumberg, Antonie",Baumberg Antonie,Baumberg,Antonie,.
511,"Baumberger, Georg",Baumberger Georg,Baumberger,Georg,16. August 1855
512,"Baumblatt, Luitpold (Jakob",Baumblatt Luitpold Luitpold,Baumblatt,Luitpold Luitpold,8.Dezbr. 1850
513,"Baumfeld, Lisa",Baumfeld Lisa,Baumfeld,Lisa,27.April 1877
514,"Baumgarten, Lili von",Baumgarten Lili,Baumgarten,Lili,29. Juli 1886
515,"Baumgartner, Alexander",Baumgartner Alexander,Baumgartner,Alexander,27. Juni 1841
516,"Baumhauer, Heinrich",Baumhauer Heinrich,Baumhauer,Heinrich,26. Oktober 1848
517,"Baur, Johann Friedrich",Baur Johann Friedrich,Baur,Johann Friedrich,12. Juli 1825
518,"Bausback, Friedrich",Bausback Friedrich,Bausback,Friedrich,13.Septbr. 1811
519,"Bauschke, Moritz Gustav",Bauschke Moritz Gustav,Bauschke,Moritz Gustav,3. Jan. 1809
520,"Bayer, Edmund Alfred",Bayer Edmund Alfred,Bayer,Edmund Alfred,12. Febr. 1848
521,"Bayer, Joseph",Bayer Joseph,Bayer,Joseph,11. März1867
522,"Bayer, Joseph August",Bayer Joseph August,Bayer,Joseph August,19.März 1821
523,"Bayer, Karl",Bayer Karl,Bayer,Karl,7. Juni1854
524,"Bayer, Karl Emmerich Robert von",Bayer Karl Emmerich Robert,Bayer,Karl Emmerich Robert,15. April 1835
525,"Bayer, Karl",Bayer Karl,Bayer,Karl,2. April1806
526,"Bayer, Ottilie",Bayer Ottilie,Bayer,Ottilie,24. Septbr. 1848
527,"Bayer, Romuald Jakob",Bayer Romuald Jakob,Bayer,Romuald Jakob,.
528,"Bayerl, Vinzens",Bayerl Vinzens,Bayerl,Vinzens,23.Dezember 1870
529,"Bayrhammer, Max",Bayrhammer Max,Bayrhammer,Max,26. Mai 1868
530,"Baysen, Hans",Baysen Hans,Baysen,Hans,.
531,Beatus Rhenanus,Beatus Rhenanus,Beatus Rhenanus,,.
532,"Beaulieu, Gertraut Chales de",Beaulieu Gertraut Chales,Beaulieu,Gertraut Chales,22. Dezbr. 1902
533,"Beaulieu, Heloise",Beaulieu Heloise,Beaulieu,Heloise,4. Mai 1870
534,"Beaulieu-Marconnay, Karl Ernst Freiherr von",Beaulieu-Marconnay Karl Ernst,Beaulieu-Marconnay,Karl Ernst,29. Juli1855
535,"Beccau, Christian Ulrich",Beccau Christian Ulrich,Beccau,Christian Ulrich,20. März 1809
536,"Bechert, Franz",Bechert Franz,Bechert,Franz,.
537,"Bechler, Anna",Bechler Anna,Bechler,Anna,.
538,"Bechstein, Ludwig",Bechstein Ludwig,Bechstein,Ludwig,24. Novbr. 1801
539,"Bechtolsheimer, Heinrich",Bechtolsheimer Heinrich,Bechtolsheimer,Heinrich,29. Oktbr. 1868
540,"Beck, Andreas",Beck Andreas,Beck,Andreas,.
541,"Beck, Elise",Beck Elise,Beck,Elise,25. Oktober1855
542,"Beck, Christan Friedrich",Beck Christan Friedrich,Beck,Christan Friedrich, Juni 1806
543,"Beck, Friedrich",Beck Friedrich,Beck,Friedrich,25. Juni 1864
544,"Beck, C. W. Georg",Beck C. W. Georg,Beck,C. W. Georg,.
545,"Beck, Julius",Beck Julius,Beck,Julius,2. Mai1852
546,"Beck, Karl Jsidor",Beck Karl Jsidor,Beck,Karl Jsidor,1. Mai 1817
547,"Beck, Karl",Beck Karl,Beck,Karl,4. April 1856
548,"Beck, Martin",Beck Martin,Beck,Martin,.
549,"Beck, P. Walter",Beck P. Walter,Beck,P. Walter, April 1895
550,"Becker, Adeline",Becker Adeline,Becker,Adeline,25. Jan.1847
551,"Becker, August",Becker August,Becker,August,27. April 1828
552,"Becker, Bernhard",Becker Bernhard,Becker,Bernhard,21. März 1819
553,"Becker, Hans Otto",Becker Hans Otto,Becker,Hans Otto,28. Dezbr. 1877
554,"Becker, J",Becker J,Becker,J,.
555,"Becker, Julius",Becker Julius,Becker,Julius,5. Febr. 1811
556,"Becker, Julius Maria",Becker Julius Maria,Becker,Julius Maria,29. März 1887
557,"Becker, Käthe",Becker Käthe,Becker,Käthe,.
558,"Becker, Käthe",Becker Käthe,Becker,Käthe,27.Dezember 1849
559,"Becker, Marie Luise",Becker Marie Luise,Becker,Marie Luise,.
560,"Becker, Nikolaus",Becker Nikolaus,Becker,Nikolaus,Februar 1845
561,"Becker, Theodor",Becker Theodor,Becker,Theodor,.
562,"Becker, Wilhelm",Becker Wilhelm,Becker,Wilhelm,17. Nov.1853
563,"Becker(-Altenbruch), Wilhelm",Becker Wilhelm,Becker,Wilhelm,31. Juli 1870
564,"Beckh, Wilhelm",Beckh Wilhelm,Beckh,Wilhelm,17. Aug.1836
565,"Beckmann, Friedrich Heinrich Wilhelm",Beckmann Friedrich Heinrich Wilhelm,Beckmann,Friedrich Heinrich Wilhelm,12. August 1820
566,"Beckmann, Johanna",Beckmann Johanna,Beckmann,Johanna,3. Mai 1868
567,"Becks, Hubert Joseph",Becks Hubert Joseph,Becks,Hubert Joseph,19. März 1846
568,"Beeker, Käthe van",Beeker Käthe,Beeker,Käthe,1. April 1863
569,"Beer, Arnold",Beer Arnold,Beer,Arnold,15. März1835
570,"Beer, Heinrich Ferdinand Konstantin",Beer Heinrich Ferdinand Konstantin,Beer,Heinrich Ferdinand Konstantin,26. Febr. 1829
571,"Beer, Michael",Beer Michael,Beer,Michael,19. Aug. 1800
572,"Beer-Hofmann, Richard",Beer-Hofmann Richard,Beer-Hofmann,Richard,11. Juli 1866
573,"Beetschen, Alfred",Beetschen Alfred,Beetschen,Alfred,.
574,"Beetz, Karl Otto",Beetz Karl Otto,Beetz,Karl Otto,7. Juni 1859
575,"Beheim-Schwarzbach, Max",Beheim-Schwarzbach Max,Beheim-Schwarzbach,Max,15. April 1839
576,"Behla, Robert",Behla Robert,Behla,Robert,2. Juni1850
577,"Behm, Ulrich Achim Gustav Friedrich",Behm Ulrich Achim Gustav Friedrich,Behm,Ulrich Achim Gustav Friedrich,6. Mai 1850
578,"Behn-Eschenburg, Hermann",Behn-Eschenburg Hermann,Behn-Eschenburg,Hermann,14. Febr. 1814
579,"Behnisch(-Kappstein), Anna",Behnisch Anna,Behnisch,Anna,.
580,"Behr, Hans Hermann",Behr Hans Hermann,Behr,Hans Hermann,22. Aug.1898
581,"Behrend, Friedrich Karl Gottlieb Ernst",Behrend Friedrich Karl Gottlieb Ernst,Behrend,Friedrich Karl Gottlieb Ernst,31. Juli 1851
582,"Behrend, Klara",Behrend Klara,Behrend,Klara,.
583,"Behrend, Martin",Behrend Martin,Behrend,Martin,1. Jan.1859
584,"Behrend, Otto",Behrend Otto,Behrend,Otto,24. Dezbr.1857
585,"Behrens(-Litzmann), Anna",Behrens Anna,Behrens,Anna,9. April 1850
586,"Behrens, Bertha",Behrens Bertha,Behrens,Bertha,.
587,"Behrens, Hugo",Behrens Hugo,Behrens,Hugo,21. Juli 1820
588,"Behrens, Emmi",Behrens Emmi,Behrens,Emmi, März 1906
589,Behringer,Behringer,Behringer,,22. Mai 1828
590,"Behrle, Rudolf",Behrle Rudolf,Behrle,Rudolf,17. April 1826
591,"Beidtel, Karl",Beidtel Karl,Beidtel,Karl,6. März1893
592,"Beier, Sophie",Beier Sophie,Beier,Sophie,27. Dezbr.1870
593,"Beier, Theodor",Beier Theodor,Beier,Theodor, Februar 1905
594,"Beilhack, Max",Beilhack Max,Beilhack,Max,23. Dezbr. 1885
595,"Beisenherz, Friedrich Ludwig",Beisenherz Friedrich Ludwig,Beisenherz,Friedrich Ludwig,29. Oktober 1872
596,"Beisler, Karl Rudolf",Beisler Karl Rudolf,Beisler,Karl Rudolf,17. Juli 1837
597,"Bekk, Adolf",Bekk Adolf,Bekk,Adolf,16. Juni1830
598,"Belart, Hans",Belart Hans,Belart,Hans,1. Nov.1856
599,"Belke, Peter Joseph",Belke Peter Joseph,Belke,Peter Joseph,22. Juli 1815
600,"Bellami, Albert",Bellami Albert,Bellami,Albert,.
601,"Belle, Eugen Trauttwein von",Belle Eugen Trauttwein,Belle,Eugen Trauttwein,6. August 1832
602,"Belly, Georg Friedrich",Belly Georg Friedrich,Belly,Georg Friedrich,4. Juni 1836
603,"Belmonte, Karola",Belmonte Karola,Belmonte,Karola,.
604,"Belolawek-Morgan, Camillo",Belolawek-Morgan Camillo,Belolawek-Morgan,Camillo,.
605,"Below, Ernst",Below Ernst,Below,Ernst,31. Mai 1845
606,"Below, Hans von",Below Hans,Below,Hans,.
607,"Below, Ottilie von",Below Ottilie,Below,Ottilie,.
608,"Benary, Felix Heinrich",Benary Felix Heinrich,Benary,Felix Heinrich,26. Oktober 1841
609,"Benda, Margarete",Benda Margarete,Benda,Margarete,.
610,"Benda, Oskar",Benda Oskar,Benda,Oskar,12. Juni1845
611,"Bendel, Joseph",Bendel Joseph,Bendel,Joseph,10. Oktbr.1846
612,"Bender, Augusta",Bender Augusta,Bender,Augusta,20.März 1846
613,"Bender, Christian",Bender Christian,Bender,Christian,8. Jan.1802
614,"Bender, Ferdinand",Bender Ferdinand,Bender,Ferdinand,12. Oktober 1847
615,"Bender, Hermann",Bender Hermann,Bender,Hermann,15. Dezbr. 1846
616,"Bender, Johannes",Bender Johannes,Bender,Johannes,4. März 1865
617,"Bender, Johann Philipp",Bender Johann Philipp,Bender,Johann Philipp,5. April 1811
618,"Bender, Ludwig",Bender Ludwig,Bender,Ludwig,1. Nov.1801
619,"Bendiner, Oskar",Bendiner Oskar,Bendiner,Oskar,6. März1870
620,"Bendler, Georg",Bendler Georg,Bendler,Georg,.
621,"Beneckendorff und von Hindenburg, Bernhard von",Beneckendorff und von Hindenburg Bernhard,Beneckendorff und von Hindenburg,Bernhard,17. Januar 1859
622,"Benedix, Julius Roderich",Benedix Julius Roderich,Benedix,Julius Roderich,21. Jan. 1811
623,"Beneke, Adolf",Beneke Adolf,Beneke,Adolf,30. März1841
624,"Beneke, Otto",Beneke Otto,Beneke,Otto,9. Febr.1891
625,"Benesch, August",Benesch August,Benesch,August,.
626,"Benfey, Anna",Benfey Anna,Benfey,Anna, Febr. 1891
627,"Beniczky-Bajka, Helene von",Beniczky-Bajka Helene,Beniczky-Bajka,Helene,.
628,"Benignus, Hermann Wilhelm",Benignus Hermann Wilhelm,Benignus,Hermann Wilhelm,17. Febr. 1861
629,"Benkard, Christian",Benkard Christian,Benkard,Christian,5. Oktober 1853
630,"Benndorf, Friedrich Kurt",Benndorf Friedrich Kurt,Benndorf,Friedrich Kurt,27. Mai 1871
631,"Bennecke, Wilhelm",Bennecke Wilhelm,Bennecke,Wilhelm,11. Dezbr. 1846
632,"Bennert, Julius Eduard",Bennert Julius Eduard,Bennert,Julius Eduard,22. Septbr. 1856
633,"Bennesch, Joseph",Bennesch Joseph,Bennesch,Joseph,3. März 1873
634,"Benno, H. von",Benno H.,Benno,H.,.
635,"Benno, Max",Benno Max,Benno,Max,.
636,"Benrath, Rudolf",Benrath Rudolf,Benrath,Rudolf,.
637,"Benseler, Franz Gustav",Benseler Franz Gustav,Benseler,Franz Gustav,14. März 1846
638,"Bente, Fritz",Bente Fritz,Bente,Fritz,14. Mai 1845
639,"Bentivegni, Jna von",Bentivegni Jna,Bentivegni,Jna,.
640,"Bentlage, C",Bentlage C,Bentlage,C,11. Juni 1849
641,"Benz, Friedrich",Benz Friedrich,Benz,Friedrich,9. Juli1878
642,"Benziger, P. Augustin",Benziger P. Augustin,Benziger,P. Augustin,15. September 1870
643,"Benzmann, Hans",Benzmann Hans,Benzmann,Hans,27. Septbr. 1869
644,"Bequignolles, Hermannd’Artis von",Bequignolles Hermannd’Artis,Bequignolles,Hermannd’Artis,24. Septbr. 1825
645,"Bequignolles, Hermann",Bequignolles Hermann,Bequignolles,Hermann,25. Novbr. 1857
646,"Beradt, Martin",Beradt Martin,Beradt,Martin,26. Aug.1881
647,"Berberich, Julius",Berberich Julius,Berberich,Julius,24.November 1846
648,"Berberich, Wilhelm August",Berberich Wilhelm August,Berberich,Wilhelm August,1. Januar 1861
649,"Bercht, Julius",Bercht Julius,Bercht,Julius,4. Mai 1811
650,"Berdau, Emil",Berdau Emil,Berdau,Emil,22. April1857
651,"Berdôt, René",Berdôt René,Berdôt,René,.
652,"Berdrow, Otto",Berdrow Otto,Berdrow,Otto,6. Febr.1903
653,"Berend(-Hertz), Alice",Berend(-Hertz) Alice,Berend(-Hertz),Alice,.
654,"Berend, Michael",Berend Michael,Berend,Michael,.
655,"Berendt, Werner",Berendt Werner,Berendt,Werner,22. Septbr. 1869
