gnd,wohnort_1,wohnort_2,wohnort_3,wohnort_4,wohnort_5,wohnort_6,wohnort_7,wohnort_8,wohnort_9,wohnort_10,wohnort_11,wohnort_12,wohnort_13,wohnort_14,wohnort_15,wohnort_16,wohnort_17,wohnort_18
117322040,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117325147,Wismar,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117325937,Frankfurt a. M.,Dürkheim,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117326305,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117327379,Rom,Berlin,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117327433,Prag,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117329053,Grobin,Libau Kurland,Libau,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117337501,Wien,Gries,Ofen,Bozen,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117338990,Pressburg,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117343471,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117345296,Ebersdorf,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117346330,Prag,Smichow,Zwickau,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117346365,Anklam,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117347566,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117349062,Staten,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117349968,Rom,Berlin,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117360899,Hannover,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117367893,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117370231,Mannheim,Wien,Korfu,San Francisco,Berlin,Algier,Dresden,Meissen,Steglitz,Burkau,.,.,.,.,.,.,.,.
117380377,Schloss Stetten,Tübingen,Stuttgart,Ottilienhaus,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117381292,Mainz,Stein,Stuttgart,Rom,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.
117381705,Salzburg,Seekirchen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117385565,Köpenick,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117386243,Strehlen,Stettin,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117386774,Paris,Graz,Mailand,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117390488,Mainz,Prag,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117391662,München,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117395110,Meldorf,Tübingen,Stuttgart,Oldenburg,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117398225,Warnsdorf,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117399620,Weissenfels,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117402184,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117403059,Breslau,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117413674,Leipzig,Basel,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117421987,Schwerin,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117427527,Wien,Verona,Wien,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117428035,Freiburg,Offenburg,Karlsruhe,Freiburg i. B,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117439967,Danzig,Charlottenburg,Leipzig,Angerburg,Gumbinnen,.,.,.,.,.,.,.,.,.,.,.,.,.
117442534,Esslingen,Stuttgart,Cannstatt,Esslingen am Neckar,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117444642,Köln,Hannover,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117446521,Nürnberg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117446823,Graudenz,Rom,Berlin,Rom,Dresden,Bayreuth,.,.,.,.,.,.,.,.,.,.,.,.
117447234,Altstrelitz,Stein,Ludwigsburg,Strelitz,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117452203,Prag,Ronneburg,Altenburg,Grottau,Rom,Rom,Dresden,.,.,.,.,.,.,.,.,.,.,.
117452386,Frankfurt a. M.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117453072,Loschwitz,Gera,Weimar,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117454397,Rom,Rom,Frankfurt a. M.,Bielefeld,Köslin,Rom,Berlin,Genf,Rom,.,.,.,.,.,.,.,.,.
117454990,Potschappel,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117458856,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117462608,Stade,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117468010,Miesbach,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117471984,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117473898,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117477850,München,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117480932,Marburg,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117483982,Hamburg,Hannover,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117484741,Frankfurt a. M.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117485993,Bern,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117490199,Stuttgart,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117490237,Stein,Breslau,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117500496,Roveredo,Graubünden,Sülz,Zürich,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.
117501867,Breslau,Leipzig,Braunschweig,Posen,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.
117502502,Berka,Wien,Potsdam,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117504203,Nottingham,Canfield Gardens,London,Gera,Hampstead,Oldenburg,Oxford,Iever,.,.,.,.,.,.,.,.,.,.
117512877,Nizza,Breslau,Turin,Berlin,München,Genf,Breslau,.,.,.,.,.,.,.,.,.,.,.
117547867,Mannheim,Mannheim am Rhein,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117548022,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117550949,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117555304,Berlin,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
